NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
AGENCIA;1;BCO_Codigo;SIM;SIM;Caractere(3);Cód. do banco;TI.BANCO;;
AGENCIA;2;AGN_Codigo;SIM;SIM;Caractere(10);Cód. da agência;;;REGRA 1: O conteúdo do campo deverá conter o/um dos seguinte(s) formato(s): 99999999-9 OU 9999999-99 OU 99999999-X.
AGENCIA;3;AGN_Nome;NÃO;SIM;Caractere(50);Nome;;;
CADASTRO_GERAL;1;CG_Identificacao;SIM;SIM;Caractere(20);CPF, CNPJ, núm. do passaporte ou núm. de identificação da empresa;;;REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") ou CNPJ ("99.999.999/9999-99") válido quando o conteúdo do campo "CG_Nacionalidade" for "1".
CADASTRO_GERAL;2;CG_TipoPessoa;NÃO;SIM;Caractere(1);Tipo da pessoa;;"1" para física "2" para jurídica;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
CADASTRO_GERAL;3;CG_TipoEmpresa;NÃO;COND;Inteiro;Tipo da empresa;TI.TIPO_EMPRESA;1...11;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...11", quando o conteúdo do campo "CG_TipoPessoa" for "'2'".
CADASTRO_GERAL;4;CG_Nacionalidade;NÃO;SIM;Caractere(1);Nacionalidade ou origem;;"1" para brasileira "2" para estrangeira;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
CADASTRO_GERAL;5;CG_Nome;NÃO;SIM;Caractere(60);Nome;;;REGRA 1: O conteúdo do campo não deverá conter palavras como "SEM INFORMACAO", "NAO USAR", etc., e suas variações com acentuação.
CADASTRO_GERAL;6;CG_Endereco;NÃO;SIM;Caractere(50);Endereço;;;
CADASTRO_GERAL;7;CG_Complemento;NÃO;NÃO;Caractere(20);Complemento;;;
CADASTRO_GERAL;8;CG_Bairro;NÃO;SIM;Caractere(30);Bairro;;;
CADASTRO_GERAL;9;CG_CEP;NÃO;SIM;Caractere(9);CEP;;"99999-999";REGRA 1: O conteúdo do campo deverá conter um número de CEP ("99999-999") válido.
CADASTRO_GERAL;10;CG_CodMunicipio;NÃO;SIM;Caractere(6);Cód. do município;TI.MUNICIPIO;;
CADASTRO_GERAL;11;CG_CelFone;NÃO;NÃO;Caractere(20);Núm. do celular;;;REGRA 1: O conteúdo do campo deverá conter um número de TELEFONE ou CELULAR válido nos formatos "(99)9999-9999", "(999)9999-9999", "(99)99999-9999", ou "(999)99999-9999".
CADASTRO_GERAL;12;CG_Fone;NÃO;NÃO;Caractere(20);Núm. do telefone;;;REGRA 1: O conteúdo do campo deverá conter um número de TELEFONE ou CELULAR válido nos formatos "(99)9999-9999", "(999)9999-9999", "(99)99999-9999", ou "(999)99999-9999".
CADASTRO_GERAL;13;CG_Email;NÃO;NÃO;Caractere(70);E-mail;;;REGRA 1: O conteúdo do campo deverá conter um e-mail válido, se o campo for opcional, deixar vazio, se houver mais de um e-mail separar por "/" (barra).
CADASTRO_GERAL;14;CG_MicroPequenaEmpresa;NÃO;COND;Inteiro;Tipo da micro pequena empresa;TI.TIPO_MICRO_PEQUENA_EMPRESA;1...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...4", quando o conteúdo do campo "CG_TipoEmpresa" for "'1', '2'".
CADASTRO_GERAL;15;CG_OptanteSimplesNacional;NÃO;COND;Caractere(1);É optante pelo simples nacional?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'", quando o conteúdo do campo "CG_MicroPequenaEmpresa" for "'1', '2'".
CADASTRO_GERAL;16;CG_InscricaoEstadual;NÃO;COND;Caractere(20);Núm. da inscrição estadual;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "CG_TipoPessoa" for "'2'".
CADASTRO_GERAL;17;CG_InscricaoMunicipal;NÃO;COND;Caractere(20);Núm. da inscrição municipal;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "CG_TipoPessoa" for "'2'".
CONCILIACAO_BANCARIA;1;CNBCO_Sequencial;SIM;SIM;Inteiro;Núm. sequencial;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
CONCILIACAO_BANCARIA;2;CNBCO_Data;SIM;SIM;Caractere(10);Data da ocorrência;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= EXERCÍCIO" (ver regra d).
CONCILIACAO_BANCARIA;3;CNBCO_TipoOcorrencia;NÃO;SIM;Caractere(1);Tipo da ocorrência;TI.TIPO_OCORRENCIA_CONCILIACAO;1...6;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...6".
CONCILIACAO_BANCARIA;4;BCO_Codigo;NÃO;SIM;Caractere(3);Cód. do banco;CONTA_BANCARIA;;
CONCILIACAO_BANCARIA;5;AGN_Codigo;NÃO;SIM;Caractere(10);Cód. da agência;CONTA_BANCARIA;;
CONCILIACAO_BANCARIA;6;CCBCO_Numero;NÃO;SIM;Caractere(16);Núm. da conta corrente;CONTA_BANCARIA;;
CONCILIACAO_BANCARIA;7;CCBCO_Tipo;NÃO;SIM;Caractere(1);Tipo da conta corrente;CONTA_BANCARIA;1...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...4".
CONCILIACAO_BANCARIA;8;CNBCO_Descricao;NÃO;SIM;Caractere(50);Descrição;;;
CONCILIACAO_BANCARIA;9;CNBCO_TipoDocumento;NÃO;COND;Caractere(1);Tipo do documento;TI.TIPO_DOC_CONCILIACAO;1...5;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...5", quando o conteúdo do campo "CNBCO_TipoOcorrencia" for "'2', '3', '4', '5'".
CONCILIACAO_BANCARIA;10;CNBCO_NumeroDocumento;NÃO;COND;Caractere(20);Núm. do documento;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "CNBCO_TipoOcorrencia" for "'2', '3', '4', '5'".
CONCILIACAO_BANCARIA;11;CNBCO_Valor;NÃO;SIM;Caractere(14,2);Valor;;;
CONCILIACAO_BANCARIA;12;CNBCO_NomeArqPDFExtrato;NÃO;COND;Caractere(22);Nome do arquivo PDF(extrato bancário);;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "CNBCO_AAAAMM_99999.PDF".
