NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
DEMONSTRATIVO_COMPLEMENTAR_INVESTIMENTOS;1;TDC_Codigo;SIM;SIM;Inteiro;Código do título do demonstrativo;TI.TITULO_DEMONSTRATIVO_COMPLEMENTAR;1...12;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...12".
DEMONSTRATIVO_COMPLEMENTAR_INVESTIMENTOS;2;DAINV_ValorRendaFixa;NÃO;SIM;Caractere(14,2);Valor do investimento em segmento de renda fixa;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório e não poderá ser maior que "999.99".
DEMONSTRATIVO_COMPLEMENTAR_INVESTIMENTOS;3;DAINV_ValorRendaVariavel;NÃO;SIM;Caractere(14,2);Valor do investimento em segmento de renda variável;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório e não poderá ser maior que "999.99".
DEMONSTRATIVO_COMPLEMENTAR_INVESTIMENTOS;4;DAINV_ValorImoveis;NÃO;SIM;Caractere(14,2);Valor do investimento em segmento de imóveis;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório e não poderá ser maior que "999.99".
DOCUMENTO_DIVERSO;1;DD_Exercicio;SIM;SIM;Caractere(4);Exercício da aplicação/ execução do documento;;"9999" (NRO);REGRA 1: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério ">= EXERCÍCIO" (ver regra d).
DOCUMENTO_DIVERSO;2;DD_MesCompetencia;SIM;SIM;Inteiro;Mês de competência;;"99" (NRO);REGRA 1: O conteúdo do campo deverá estar preenchido com "1...13|'20', '21', '22', '23', '24', '99'". REGRA 2: O conteúdo do campo deverá conter um valor de bimestre (de "1" a "6"), de quadrimestre (de "1" a "3") ou de semestre (de "1" a "2") válido quando o conteúdo do campo "TDD_Codigo" for "'107', '108', '109', '124'" (anexos da LRF e audiências públicas). REGRA 3: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério "CARGA ESPECIAL" (ver regra d).
DOCUMENTO_DIVERSO;3;DD_Numero;SIM;SIM;Caractere(16);Núm. do documento;;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
DOCUMENTO_DIVERSO;4;TDD_Codigo;NÃO;SIM;Inteiro;Cód. do tipo do documento;TI.TIPO_DOCUMENTO_DIVERSO;1...186;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...186".
DOCUMENTO_DIVERSO;5;DD_TipoPeriodo;NÃO;COND;Inteiro;Tipo do período;;"1" para quadrimestral "2" para semestral;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2", quando o conteúdo do campo "TDD_Codigo" for "'108', '124'".
DOCUMENTO_DIVERSO;6;DD_NomeArqPDF;NÃO;SIM;Caractere(19);Nome do arquivo PDF;;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "DD_AAAAMM_99999.PDF".
DOCUMENTO_DIVERSO_PUBLICACAO;1;DD_Exercicio;SIM;SIM;Caractere(4);Exercício da competência;DOCUMENTO_DIVERSO;"9999" (NRO);REGRA 1: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério ">= EXERCÍCIO" (ver regra d).
DOCUMENTO_DIVERSO_PUBLICACAO;2;DD_MesCompetencia;SIM;SIM;Inteiro;Mês de competência;DOCUMENTO_DIVERSO;;
DOCUMENTO_DIVERSO_PUBLICACAO;3;DD_Numero;SIM;SIM;Caractere(16);Núm. do documento;DOCUMENTO_DIVERSO;"99999999999/AAAA" (NRO/ANO);
DOCUMENTO_DIVERSO_PUBLICACAO;4;LCPUBL_Codigo;SIM;SIM;Inteiro;Cód. do local de publicação;TI.LOCAL_PUBLICACAO;1...4|9;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...4|'9'".
DOCUMENTO_DIVERSO_PUBLICACAO;5;DDP_TipoPublicacao;SIM;SIM;Inteiro;Tipo da publicação;TI.TIPO_PUBLICACAO_DOCUMENTO;;REGRA 1: O conteúdo do campo deverá conter "0" (zero) quando o conteúdo do campo "LCPUBL_Codigo" for diferente de "'3'" ou um dos valores "'1', '2', '3', '4', '5', '6', '7'" quando o conteúdo do campo "LCPUBL_Codigo" for igual a "'3'".
DOCUMENTO_DIVERSO_PUBLICACAO;6;DDP_DataPublicacao;NÃO;SIM;Caractere(10);Data;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
DOCUMENTO_DIVERSO_PUBLICACAO;7;DDP_LocalPublicacao;NÃO;SIM;Caractere(255);Local;;;
DOCUMENTO_DIVERSO_PUBLICACAO;8;DDP_NumDiario;NÃO;COND;Caractere(10);Núm. do diário/jornal;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LCPUBL_Codigo" for "'3'".
DOCUMENTO_DIVERSO_PUBLICACAO;9;DDP_Pagina;NÃO;COND;Inteiro;Núm. da página inicial no diário/jornal;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LCPUBL_Codigo" for "'3'".
DOCUMENTO_DIVERSO_PUBLICACAO;10;DDP_PaginaFinal;NÃO;COND;Inteiro;Núm. da página final no diário/jornal;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "LCPUBL_Codigo" for "'3'".
DOCUMENTO_DIVERSO_PUBLICACAO;11;DDP_NomeArqPDF;NÃO;COND;Caractere(20);Nome do arquivo PDF;;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "DDP_AAAAMM_99999.PDF".
LANCAMENTO_CONTABIL_DIARIO_TCE;1;ECTCE_Codigo;SIM;SIM;Caractere(11);Cód. do elenco de contas;MOVIMENTO_CONTA_CONTABIL_TCEMT;;
LANCAMENTO_CONTABIL_DIARIO_TCE;2;MCC_Data;SIM;SIM;Caractere(10);Data da movimentação;MOVIMENTO_CONTA_CONTABIL_TCEMT;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "= DATA MOVIMENTO" (ver regra d).
LANCAMENTO_CONTABIL_DIARIO_TCE;3;TMC_Codigo;SIM;SIM;Caractere(1);Cód. do tipo do movimento contábil;MOVIMENTO_CONTA_CONTABIL_TCEMT;;REGRA 1: O conteúdo do campo deverá estar preenchido para as cargas das peças de planejamento e inicial com "'1'" e para as cargas mensais com "'2','3','4','6'".
LANCAMENTO_CONTABIL_DIARIO_TCE;4;LCDTCE_NumLancamento;SIM;SIM;Inteiro;Núm. do lançamento;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
LANCAMENTO_CONTABIL_DIARIO_TCE;5;LCDTCE_NumSequencial;SIM;SIM;Inteiro;Núm. sequencial do lançamento;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
LANCAMENTO_CONTABIL_DIARIO_TCE;6;LCDTCE_Historico;NÃO;SIM;Caractere(255);Descrição do evento que gerou o lançamento;;;
