NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
ALTERACAO_CARGO_FUNCAO_PESSOAL;1;LEI_Numero;SIM;SIM;Caractere(10);Núm. da lei da autorização;LEI;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
ALTERACAO_CARGO_FUNCAO_PESSOAL;2;CFPESS_Codigo;SIM;SIM;Caractere(7);Cód. do cargo/função pessoal;CARGO_FUNCAO_PESSOAL_UG;"1" ou "2" ou formatado como "9999.99" (NRO);REGRA 1: O conteúdo do campo deverá estar de acordo com o Classificação Brasileira de Ocupações (CBO), deverá ser "1" ou "2" ou formatado como "9999.99"'.
ALTERACAO_CARGO_FUNCAO_PESSOAL;3;CFPESSUG_Codigo;SIM;SIM;Caractere(10);Cód. do cargo;CARGO_FUNCAO_PESSOAL_UG;;
ALTERACAO_CARGO_FUNCAO_PESSOAL;4;CFPESSUG_JornadaTrabalho;SIM;SIM;Caractere(2);Jornada de trabalho semanal em horas;CARGO_FUNCAO_PESSOAL_UG;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
ALTERACAO_CARGO_FUNCAO_PESSOAL;5;ACFPESS_Tipo;NÃO;SIM;Inteiro;Tipo da alteração;TI.TIPO_ALTERACAO_CARGO;1...7;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...7".
ALTERACAO_CARGO_FUNCAO_PESSOAL;6;ACFPESS_DataInicioVigencia;NÃO;SIM;Caractere(10);Data do início da vigência;;;
ALTERACAO_CARGO_FUNCAO_PESSOAL;7;ACFPESS_QtdeVagas;NÃO;SIM;Inteiro;Quantidade de vagas alteradas, criadas ou extintas;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
ALTERACAO_CARGO_FUNCAO_PESSOAL;8;ACFPESS_NomeCargoNovo;NÃO;COND;Caractere(255);Novo nome do cargo;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "ACFPESS_Tipo" for "'5', '6', '7'".
ATO_PESSOAL;1;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
ATO_PESSOAL;2;ATOP_NumDocumento;SIM;SIM;Caractere(16);Núm. do documento;;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
ATO_PESSOAL;3;TATOP_Codigo;SIM;SIM;Caractere(2);Cód. do tipo do ato de pessoal;TI.TIPO_ATO_PESSOAL;17...44|01, 02, 03, 04, 05, 06, 08, 09, 10, 11, 12, 13, 14, 15;REGRA 1: O conteúdo do campo deverá estar preenchido com "17...44|'01', '02', '03', '04', '05', '06', '08', '09', '10', '11', '12', '13', '14', '15'".
ATO_PESSOAL;4;ATOP_DataDocumento;SIM;SIM;Caractere(10);Data do documento;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= EXERCÍCIO" (ver regra d).
ATO_PESSOAL;5;ATOP_TipoDocumento;NÃO;COND;Inteiro;Tipo do documento;TI.TIPO_DOCUMENTO_ATO_PESSOAL;1...11;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...11", quando o conteúdo do campo "TATOP_Codigo" for "'01', '02', '03', '04', '05', '06', '08', '09', '10', '11', '12', '13', '14', '15', '17', '18', '19', '20', '21', '22', '23', '30', '31', '32', '33', '35', '36', '37', '38', '39'".
ATO_PESSOAL;6;ATOP_NomeArqPDF;NÃO;COND;Caractere(21);Nome do arquivo PDF;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "TATOP_Codigo" for "'01', '02', '03', '04', '05', '06', '08', '09', '10', '11', '12', '13', '14', '15', '17', '18', '19', '20', '21', '22', '23', '30', '31', '32', '33', '35', '36', '37', '38', '39', '40', '41'". REGRA 2: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "ATOP_AAAAMM_99999.PDF".
CADASTRO_GERAL;1;CG_Identificacao;SIM;SIM;Caractere(20);CPF, CNPJ, núm. do passaporte ou núm. de identificação da empresa;;;REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") ou CNPJ ("99.999.999/9999-99") válido quando o conteúdo do campo "CG_Nacionalidade" for "1".
CADASTRO_GERAL;2;CG_TipoPessoa;NÃO;SIM;Caractere(1);Tipo da pessoa;;"1" para física "2" para jurídica;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
CADASTRO_GERAL;3;CG_TipoEmpresa;NÃO;COND;Inteiro;Tipo da empresa;TI.TIPO_EMPRESA;1...11;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...11", quando o conteúdo do campo "CG_TipoPessoa" for "'2'".
CADASTRO_GERAL;4;CG_Nacionalidade;NÃO;SIM;Caractere(1);Nacionalidade ou origem;;"1" para brasileira "2" para estrangeira;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
CADASTRO_GERAL;5;CG_Nome;NÃO;SIM;Caractere(60);Nome;;;REGRA 1: O conteúdo do campo não deverá conter palavras como "SEM INFORMACAO", "NAO USAR", etc., e suas variações com acentuação.
CADASTRO_GERAL;6;CG_Endereco;NÃO;SIM;Caractere(50);Endereço;;;
CADASTRO_GERAL;7;CG_Complemento;NÃO;NÃO;Caractere(20);Complemento;;;
CADASTRO_GERAL;8;CG_Bairro;NÃO;SIM;Caractere(30);Bairro;;;
CADASTRO_GERAL;9;CG_CEP;NÃO;SIM;Caractere(9);CEP;;"99999-999";REGRA 1: O conteúdo do campo deverá conter um número de CEP ("99999-999") válido.
CADASTRO_GERAL;10;CG_CodMunicipio;NÃO;SIM;Caractere(6);Cód. do município;TI.MUNICIPIO;;
CADASTRO_GERAL;11;CG_CelFone;NÃO;NÃO;Caractere(20);Núm. do celular;;;REGRA 1: O conteúdo do campo deverá conter um número de TELEFONE ou CELULAR válido nos formatos "(99)9999-9999", "(999)9999-9999", "(99)99999-9999", ou "(999)99999-9999".
CADASTRO_GERAL;12;CG_Fone;NÃO;NÃO;Caractere(20);Núm. do telefone;;;REGRA 1: O conteúdo do campo deverá conter um número de TELEFONE ou CELULAR válido nos formatos "(99)9999-9999", "(999)9999-9999", "(99)99999-9999", ou "(999)99999-9999".
CADASTRO_GERAL;13;CG_Email;NÃO;NÃO;Caractere(70);E-mail;;;REGRA 1: O conteúdo do campo deverá conter um e-mail válido, se o campo for opcional, deixar vazio, se houver mais de um e-mail separar por "/" (barra).
CADASTRO_GERAL;14;CG_MicroPequenaEmpresa;NÃO;COND;Inteiro;Tipo da micro pequena empresa;TI.TIPO_MICRO_PEQUENA_EMPRESA;1...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...4", quando o conteúdo do campo "CG_TipoEmpresa" for "'1', '2'".
CADASTRO_GERAL;15;CG_OptanteSimplesNacional;NÃO;COND;Caractere(1);É optante pelo simples nacional?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'", quando o conteúdo do campo "CG_MicroPequenaEmpresa" for "'1', '2'".
CADASTRO_GERAL;16;CG_InscricaoEstadual;NÃO;COND;Caractere(20);Núm. da inscrição estadual;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "CG_TipoPessoa" for "'2'".
CADASTRO_GERAL;17;CG_InscricaoMunicipal;NÃO;COND;Caractere(20);Núm. da inscrição municipal;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "CG_TipoPessoa" for "'2'".
CARGA_HORARIA_FUNCAO_PESSOAL;1;CFPESS_Codigo;SIM;SIM;Caractere(7);Cód. do cargo/função pessoal;CARGO_FUNCAO_PESSOAL_UG;"1" ou "2" ou formatado como "9999.99" (NRO);REGRA 1: O conteúdo do campo deverá estar de acordo com o Classificação Brasileira de Ocupações (CBO), deverá ser "1" ou "2" ou formatado como "9999.99"'.
CARGA_HORARIA_FUNCAO_PESSOAL;2;CFPESSUG_Codigo;SIM;SIM;Caractere(10);Cód. do cargo;CARGO_FUNCAO_PESSOAL_UG;;
CARGA_HORARIA_FUNCAO_PESSOAL;3;CFPESSUG_JornadaTrabalho;SIM;SIM;Caractere(2);Jornada de trabalho semanal em horas;CARGO_FUNCAO_PESSOAL_UG;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
CARGA_HORARIA_FUNCAO_PESSOAL;4;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula;PESSOAL;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
CARGA_HORARIA_FUNCAO_PESSOAL;5;CHFPESS_DataAdmissao;SIM;SIM;Caractere(10);Data da admissão;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= EXERCÍCIO" (ver regra d).
CARGA_HORARIA_FUNCAO_PESSOAL;6;CHFPESS_FormaOcupacao;NÃO;SIM;Inteiro;Forma de ocupação;TI.CARGO_FORMA_OCUPACAO;1...10;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...10".
CARGA_HORARIA_FUNCAO_PESSOAL;7;CHFPESS_NaturezaJuridica;NÃO;SIM;Inteiro;Natureza jurídica;TI.REGIME_JURIDICO_CARGO;1...5;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...5".
CARGA_HORARIA_FUNCAO_PESSOAL;8;PESS_TipoPrevidencia;NÃO;COND;Inteiro;Tipo da previdência;TI.TIPO_PREVIDENCIA;1...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...4".
CARGA_HORARIA_FUNCAO_PESSOAL;9;CONC_Numero;NÃO;COND;Caractere(16);Núm. do concurso;CONCURSO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo dos campos "CONC_Numero" e "CONC_Tipo": a) DEVERÃO estar preenchidos quando o conteúdo do campo "CHFPESS_FormaOcupacao" for "'1','7'", b) PODERÃO ou NÃO estar preenchidos "CHFPESS_FormaOcupacao" for "3", c) NÃO DEVERÃO estar preenchidos quando "CHFPESS_FormaOcupacao" for "'2', '4', '5', '6', '8'". REGRA 2: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
CARGA_HORARIA_FUNCAO_PESSOAL;10;CONC_Tipo;NÃO;COND;Inteiro;Tipo do concurso;CONCURSO;1...6;REGRA 1: O conteúdo dos campos "CONC_Numero" e "CONC_Tipo": a) DEVERÃO estar preenchidos quando o conteúdo do campo "CHFPESS_FormaOcupacao" for "'1','7'", b) PODERÃO ou NÃO estar preenchidos "CHFPESS_FormaOcupacao" for "3", c) NÃO DEVERÃO estar preenchidos quando "CHFPESS_FormaOcupacao" for "'2', '4', '5', '6', '8'". REGRA 2: O conteúdo do campo deverá estar preenchido com "1...6".
CARGA_HORARIA_FUNCAO_PESSOAL;11;CHFPESS_NomeArqPDF;NÃO;COND;Caractere(24);Nome do arquivo PDF;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "CONC_Numero" estiver em branco e o conteúdo do campo "CHFPESS_FormaOcupacao" for um dos valores "'1', '2', '3', '6', '7'". REGRA 2: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "CHFPESS_AAAAMM_99999.PDF".
