NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
DOCUMENTO_DIVERSO;1;DD_Exercicio;SIM;SIM;Caractere(4);Exercício da aplicação/ execução do documento;;"9999" (NRO);REGRA 1: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério ">= EXERCÍCIO" (ver regra d).
DOCUMENTO_DIVERSO;2;DD_MesCompetencia;SIM;SIM;Inteiro;Mês de competência;;"99" (NRO);REGRA 1: O conteúdo do campo deverá estar preenchido com "1...13|'20', '21', '22', '23', '24', '99'". REGRA 2: O conteúdo do campo deverá conter um valor de bimestre (de "1" a "6"), de quadrimestre (de "1" a "3") ou de semestre (de "1" a "2") válido quando o conteúdo do campo "TDD_Codigo" for "'107', '108', '109', '124'" (anexos da LRF e audiências públicas). REGRA 3: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério "CARGA ESPECIAL" (ver regra d).
DOCUMENTO_DIVERSO;3;DD_Numero;SIM;SIM;Caractere(16);Núm. do documento;;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
DOCUMENTO_DIVERSO;4;TDD_Codigo;NÃO;SIM;Inteiro;Cód. do tipo do documento;TI.TIPO_DOCUMENTO_DIVERSO;1...186;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...186".
DOCUMENTO_DIVERSO;5;DD_TipoPeriodo;NÃO;COND;Inteiro;Tipo do período;;"1" para quadrimestral "2" para semestral;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2", quando o conteúdo do campo "TDD_Codigo" for "'108', '124'".
DOCUMENTO_DIVERSO;6;DD_NomeArqPDF;NÃO;SIM;Caractere(19);Nome do arquivo PDF;;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "DD_AAAAMM_99999.PDF".
DOTACAO;1;ORG_Codigo;SIM;SIM;Caractere(2);Cód. do órgão;UNIDADE_ORCAMENTARIA;;
DOTACAO;2;UNOR_Codigo;SIM;SIM;Caractere(3);Cód. da unidade orçamentária;UNIDADE_ORCAMENTARIA;;
DOTACAO;3;FN_Codigo;SIM;SIM;Caractere(2);Cód. da função;TI.FUNCAO;01...28|77, 99;REGRA 1: O conteúdo do campo deverá estar preenchido com "01...28|'77', '99'".
DOTACAO;4;SFN_Codigo;SIM;SIM;Caractere(3);Cód. da subfunção;TI.SUBFUNCAO;;
