NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
ADIANTAMENTO;1;SOLIC_NumProcesso;SIM;SIM;Caractere(16);Núm. da solicitação;SOLICITACAO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
ADIANTAMENTO;2;PESS_Matricula;SIM;SIM;Caractere(10);Núm. da matrícula do servidor;PESSOAL;"9999999999" (NRO);REGRA 1: O conteúdo do campo não deverá conter espaços em branco (" ") quando obrigatório.
ADIANTAMENTO;3;ADTO_Tipo;SIM;SIM;Caractere(1);Tipo;;"1" para material de consumo "2" para serviço;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
ADIANTAMENTO;4;ADTO_Data;NÃO;SIM;Caractere(10);Data;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "COMPETÊNCIA DA CARGA" (ver regra d).
ADIANTAMENTO;5;ADTO_DataLimite;NÃO;SIM;Caractere(10);Data limite para prestação de contas;;;REGRA 1: O conteúdo do campo deverá conter um valor MAIOR ou IGUAL ao conteúdo do campo "ADTO_Data".
ADIANTAMENTO;6;ADTO_Valor;NÃO;SIM;Caractere(14,2);Valor;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
ADIANTAMENTO;7;ADTO_Objetivo;NÃO;SIM;Caractere(120);Objetivo;;;
ADIANTAMENTO;8;LEI_Numero;NÃO;SIM;Caractere(10);Núm. da lei da autorização;LEI ou DECRETO;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
ADIANTAMENTO;9;DECR_Numero;NÃO;NÃO;Caractere(10);Núm. do decreto da autorização;DECRETO;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERC_ATUAL" (ver regra d).
ADIANTAMENTO;10;ORG_Codigo;NÃO;SIM;Caractere(2);Cód. do órgão;EMPENHO;;
ADIANTAMENTO;11;UNOR_Codigo;NÃO;SIM;Caractere(3);Cód. da unidade orçamentária;EMPENHO;;
ADIANTAMENTO;12;EMP_Numero;NÃO;SIM;Caractere(11);Núm. do empenho;EMPENHO;"999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
ANULACAO_ESTORNO_DIARIA;1;SOLIC_NumProcesso;SIM;SIM;Caractere(16);Núm. da solicitação;DIARIA;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
ANULACAO_ESTORNO_DIARIA;2;DIAR_IdentificBeneficiado;SIM;SIM;Caractere(20);Beneficiado;DIARIA;;REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") ou CNPJ ("99.999.999/9999-99") válido e se for uma matrícula, deverá conter 10 caracteres (preencher com "0" (zero) à esquerda).
ANULACAO_ESTORNO_DIARIA;3;AEDIAR_Data;NÃO;SIM;Caractere(10);Data;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "COMPETÊNCIA DA CARGA" (ver regra d).
ANULACAO_ESTORNO_DIARIA;4;AEDIAR_Motivo;NÃO;SIM;Caractere(120);Motivo;;;
ANULACAO_ESTORNO_DIARIA;5;AEDIAR_Valor;NÃO;SIM;Caractere(14,2);Valor da anulação/estorno;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
CADASTRO_GERAL;1;CG_Identificacao;SIM;SIM;Caractere(20);CPF, CNPJ, núm. do passaporte ou núm. de identificação da empresa;;;REGRA 1: O conteúdo do campo deverá conter um número de CPF ("999.999.999-99") ou CNPJ ("99.999.999/9999-99") válido quando o conteúdo do campo "CG_Nacionalidade" for "1".
CADASTRO_GERAL;2;CG_TipoPessoa;NÃO;SIM;Caractere(1);Tipo da pessoa;;"1" para física "2" para jurídica;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
CADASTRO_GERAL;3;CG_TipoEmpresa;NÃO;COND;Inteiro;Tipo da empresa;TI.TIPO_EMPRESA;1...11;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...11", quando o conteúdo do campo "CG_TipoPessoa" for "'2'".
